Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Stavanger - Våland;SN44640;03.09.2025;17,8
Bergen - Florida;SN50540;03.09.2025;18,9
Bergen - Florida Uib;SN50539;03.09.2025;18,8
Bjørnholt;SN18500;04.09.2025;18,6
Oslo - Blindern;SN18700;04.09.2025;20,9
Oslo - Bygdøy Ii;SN18810;04.09.2025;21,1
Oslo - Hovin;SN18210;04.09.2025;20,4
Tryvannshøgda;SN18950;04.09.2025;16,4
Trondheim - Voll;SN68860;04.09.2025;24,4
Trondheim - Voll Plu;SN68863;04.09.2025;24,4
Stavanger - Våland;SN44640;04.09.2025;18,2
Bergen - Florida;SN50540;04.09.2025;18,9
Bergen - Florida Uib;SN50539;04.09.2025;18,9
Bjørnholt;SN18500;05.09.2025;15,8
Oslo - Blindern;SN18700;05.09.2025;18,3
Oslo - Bygdøy Ii;SN18810;05.09.2025;18,4
Oslo - Hovin;SN18210;05.09.2025;18,1
Tryvannshøgda;SN18950;05.09.2025;13,7
Trondheim - Voll;SN68860;05.09.2025;19,5
Trondheim - Voll Plu;SN68863;05.09.2025;19,4
Stavanger - Våland;SN44640;05.09.2025;19,3
Bergen - Florida;SN50540;05.09.2025;18,2
Bergen - Florida Uib;SN50539;05.09.2025;18,3
Bjørnholt;SN18500;06.09.2025;19,3
Oslo - Blindern;SN18700;06.09.2025;21
Oslo - Bygdøy Ii;SN18810;06.09.2025;21,5
Oslo - Hovin;SN18210;06.09.2025;20,2
Tryvannshøgda;SN18950;06.09.2025;18
Trondheim - Voll;SN68860;06.09.2025;18
Trondheim - Voll Plu;SN68863;06.09.2025;17,9
Stavanger - Våland;SN44640;06.09.2025;18,9
Bergen - Florida;SN50540;06.09.2025;20,7
Bergen - Florida Uib;SN50539;06.09.2025;20,9
Bjørnholt;SN18500;07.09.2025;19,8
Oslo - Blindern;SN18700;07.09.2025;18
Oslo - Bygdøy Ii;SN18810;07.09.2025;19,3
Oslo - Hovin;SN18210;07.09.2025;19,5
Tryvannshøgda;SN18950;07.09.2025;16,9
Trondheim - Voll;SN68860;07.09.2025;19,2
Trondheim - Voll Plu;SN68863;07.09.2025;19,1
Stavanger - Våland;SN44640;07.09.2025;21,6
Bergen - Florida;SN50540;07.09.2025;21,4
Bergen - Florida Uib;SN50539;07.09.2025;21,3
Bjørnholt;SN18500;08.09.2025;17,6
Oslo - Blindern;SN18700;08.09.2025;19,6
Oslo - Bygdøy Ii;SN18810;08.09.2025;19,7
Oslo - Hovin;SN18210;08.09.2025;19,2
Tryvannshøgda;SN18950;08.09.2025;16,2
Trondheim - Voll;SN68860;08.09.2025;24,3
Trondheim - Voll Plu;SN68863;08.09.2025;24,3
Stavanger - Våland;SN44640;08.09.2025;21,9
Bergen - Florida;SN50540;08.09.2025;24
Bergen - Florida Uib;SN50539;08.09.2025;24
Bjørnholt;SN18500;09.09.2025;19,8
Oslo - Blindern;SN18700;09.09.2025;22,4
Oslo - Bygdøy Ii;SN18810;09.09.2025;22,1
Oslo - Hovin;SN18210;09.09.2025;21,8
Tryvannshøgda;SN18950;09.09.2025;18,8
Trondheim - Voll;SN68860;09.09.2025;20,7
Trondheim - Voll Plu;SN68863;09.09.2025;20,4
Stavanger - Våland;SN44640;09.09.2025;17,3
Bergen - Florida;SN50540;09.09.2025;19,5
Bergen - Florida Uib;SN50539;09.09.2025;19,5
Bjørnholt;SN18500;10.09.2025;18,5
Oslo - Blindern;SN18700;10.09.2025;21,2
Oslo - Bygdøy Ii;SN18810;10.09.2025;21,7
Oslo - Hovin;SN18210;10.09.2025;21,2
Tryvannshøgda;SN18950;10.09.2025;18,6
Trondheim - Voll;SN68860;10.09.2025;22,3
Trondheim - Voll Plu;SN68863;10.09.2025;22,3
Stavanger - Våland;SN44640;10.09.2025;20,1
Bergen - Florida;SN50540;10.09.2025;22,1
Bergen - Florida Uib;SN50539;10.09.2025;22
Bjørnholt;SN18500;11.09.2025;15
Oslo - Blindern;SN18700;11.09.2025;18,6
Oslo - Bygdøy Ii;SN18810;11.09.2025;19,2
Oslo - Hovin;SN18210;11.09.2025;18,6
Tryvannshøgda;SN18950;11.09.2025;14,3
Trondheim - Voll;SN68860;11.09.2025;20,7
