Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Tryvannshøgda;SN18950;15.09.2016;20,6
Trondheim - Voll;SN68860;15.09.2016;15,3
Stavanger - Våland;SN44640;15.09.2016;27,2
Bergen - Florida;SN50540;15.09.2016;26,7
Bjørnholt;SN18500;16.09.2016;18,2
Oslo - Blindern;SN18700;16.09.2016;19,8
Oslo - Hovin;SN18210;16.09.2016;21,6
Tryvannshøgda;SN18950;16.09.2016;16,9
Trondheim - Voll;SN68860;16.09.2016;19,1
Stavanger - Våland;SN44640;16.09.2016;25
Bergen - Florida;SN50540;16.09.2016;27,6
Bjørnholt;SN18500;17.09.2016;17,8
Oslo - Blindern;SN18700;17.09.2016;19,3
Oslo - Hovin;SN18210;17.09.2016;20
Tryvannshøgda;SN18950;17.09.2016;13,6
Trondheim - Voll;SN68860;17.09.2016;14,9
Stavanger - Våland;SN44640;17.09.2016;22,7
Bergen - Florida;SN50540;17.09.2016;22,4
Bjørnholt;SN18500;18.09.2016;20,4
Oslo - Blindern;SN18700;18.09.2016;20,1
Oslo - Hovin;SN18210;18.09.2016;21,1
Tryvannshøgda;SN18950;18.09.2016;14,6
Trondheim - Voll;SN68860;18.09.2016;18,8
Stavanger - Våland;SN44640;18.09.2016;20,7
Bergen - Florida;SN50540;18.09.2016;18,6
Bjørnholt;SN18500;19.09.2016;20,3
Oslo - Blindern;SN18700;19.09.2016;20,9
Oslo - Hovin;SN18210;19.09.2016;21,9
Tryvannshøgda;SN18950;19.09.2016;15,3
Trondheim - Voll;SN68860;19.09.2016;15,3
Stavanger - Våland;SN44640;19.09.2016;18,9
Bergen - Florida;SN50540;19.09.2016;18,9
Bjørnholt;SN18500;20.09.2016;19,7
Oslo - Blindern;SN18700;20.09.2016;21,6
Oslo - Hovin;SN18210;20.09.2016;22,6
Tryvannshøgda;SN18950;20.09.2016;17,5
Trondheim - Voll;SN68860;20.09.2016;17,1
Stavanger - Våland;SN44640;20.09.2016;18,6
